Algoritmo,Iteraciones,Largo del Camino (km),Velocidad Promedio (km/h),Tiempo de Viaje (min),Tiempo Total (s)
dijkstra,277,1.183935,40.0,1.7759025,0.017972707748413086
a_star,86,1.183935,40.0,1.7759025,0.01584649085998535
dijkstra,2389,5.284796,45.283018867924525,7.002354700000001,0.039029836654663086
a_star,907,5.149513999999998,43.63636363636363,7.080581749999999,0.02651810646057129
dijkstra,2903,4.894048000000001,40.0,7.341072000000001,0.04784369468688965
a_star,315,4.894048000000001,40.0,7.341072000000001,0.021018028259277344
dijkstra,4235,11.979781999999995,57.3469387755102,12.534006790035582,0.058734893798828125
a_star,2656,11.979781999999995,57.3469387755102,12.534006790035582,0.04500007629394531
dijkstra,1325,12.689573000000003,53.75,14.16510474418605,0.02836894989013672
a_star,471,12.689573000000003,53.75,14.16510474418605,0.019290447235107422
dijkstra,1082,4.677611000000001,60.270270270270274,4.656635165919283,0.02386617660522461
a_star,541,4.677611000000001,60.270270270270274,4.656635165919283,0.020552635192871094
dijkstra,202,0.8287530000000001,40.0,1.2431295000000002,0.015120506286621094
a_star,37,0.8287530000000001,40.0,1.2431295000000002,0.013425111770629883
dijkstra,3972,5.890449,40.0,8.8356735,0.048331499099731445
a_star,1022,6.074842000000001,40.0,9.112263000000002,0.026750802993774414
dijkstra,2529,7.801138,40.0,11.701706999999999,0.039139509201049805
a_star,663,7.801138,40.0,11.701706999999999,0.02309703826904297
dijkstra,2148,7.9131350000000005,40.0,11.8697025,0.041997671127319336
a_star,247,7.9131350000000005,40.0,11.8697025,0.025004148483276367
dijkstra,3182,4.892537999999998,41.40845070422535,7.089187714285711,0.06184983253479004
a_star,1066,4.892537999999998,41.40845070422535,7.089187714285711,0.03115701675415039
dijkstra,3694,6.823152999999999,41.06382978723404,9.969581067357511,0.05619645118713379
a_star,1612,6.823447999999998,40.43478260869565,10.125116387096773,0.03448653221130371
dijkstra,42,1.4440049999999998,40.0,2.1660074999999996,0.014439582824707031
a_star,4,1.4440049999999998,40.0,2.1660074999999996,0.015425682067871094
dijkstra,1695,3.707629999999999,47.95454545454545,4.638930426540283,0.030783891677856445
a_star,358,3.886167999999999,48.13953488372093,4.8436296811594195,0.019666671752929688
dijkstra,1166,2.730467999999999,40.0,4.095701999999998,0.026800870895385742
a_star,302,2.737461999999999,40.0,4.106192999999998,0.018541336059570312
dijkstra,1318,6.381161,51.16279069767442,7.483361536363636,0.029157638549804688
a_star,387,5.769512999999999,42.857142857142854,8.077318199999999,0.01891636848449707
dijkstra,954,4.002402999999999,46.34146341463415,5.18205862105263,0.029254913330078125
a_star,335,3.4878430000000002,41.111111111111114,5.09036545945946,0.0210421085357666
dijkstra,4381,13.526814,40.0,20.290221,0.06372261047363281
a_star,2479,14.074733999999996,40.0,21.112100999999992,0.04402017593383789
dijkstra,3354,5.393992999999999,40.0,8.0909895,0.05228877067565918
a_star,1346,5.394113999999999,40.0,8.091170999999997,0.03515434265136719
dijkstra,2699,8.759459,41.44329896907217,12.68160482089552,0.04380226135253906
a_star,815,8.548614999999998,40.816326530612244,12.566464049999999,0.025493621826171875
dijkstra,2343,4.039239,40.0,6.0588585,0.04184103012084961
a_star,433,4.039239,40.0,6.0588585,0.020108938217163086
dijkstra,2468,4.605273000000001,45.55555555555556,6.065481512195124,0.04020285606384277
a_star,444,4.541845000000001,42.67857142857143,6.385187949790796,0.02091383934020996
dijkstra,3068,4.680716999999999,42.8125,6.559836963503647,0.049579620361328125
a_star,827,4.579450999999998,40.95238095238095,6.709428209302323,0.02530193328857422
dijkstra,4156,7.879441,42.325581395348834,11.169757021978024,0.058333635330200195
a_star,1557,7.657107999999998,40.91954022988506,11.227557235955054,0.03526043891906738
dijkstra,2610,7.297150000000001,53.970588235294116,8.112362942779294,0.04148125648498535
a_star,925,6.771717000000002,40.285714285714285,10.085535957446812,0.026996374130249023
dijkstra,3186,9.033272,52.54545454545455,10.314808858131489,0.04823160171508789
a_star,1645,9.033272,52.54545454545455,10.314808858131489,0.035661935806274414
dijkstra,3042,4.964084000000001,40.0,7.446126000000001,0.04765510559082031
a_star,1291,4.964205000000001,40.0,7.4463075000000005,0.030497312545776367
dijkstra,392,1.5845700000000003,44.0,2.160777272727273,0.020102262496948242
a_star,89,1.4972800000000002,41.904761904761905,2.1438327272727276,0.01692032814025879
dijkstra,2380,6.3619129999999995,44.54545454545455,8.569107306122449,0.03937244415283203
a_star,430,6.093824000000002,40.0,9.140736000000004,0.021888017654418945
dijkstra,977,2.3362629999999998,40.0,3.5043944999999996,0.025466442108154297
a_star,163,2.3362629999999998,40.0,3.5043944999999996,0.01824212074279785
dijkstra,3359,9.217218999999995,56.883116883116884,9.722272095890405,0.05265188217163086
a_star,2254,9.222119999999997,50.41095890410959,10.976327608695648,0.041864633560180664
dijkstra,4077,18.111640999999995,49.4392523364486,21.980479247637046,0.05611062049865723
a_star,2712,18.017536999999997,48.89908256880734,22.107822135084422,0.048751115798950195
dijkstra,3303,8.733732999999997,43.523809523809526,12.039938271334789,0.0492243766784668
a_star,851,8.418813000000002,40.0,12.628219500000002,0.028019428253173828
dijkstra,1124,2.186064,40.0,3.279096,0.02857494354248047
a_star,200,2.186064,40.0,3.279096,0.01926565170288086
dijkstra,2156,4.364978999999999,51.0,5.135269411764705,0.03929591178894043
a_star,439,3.8293039999999983,42.0,5.470434285714283,0.022295713424682617
dijkstra,3836,6.279679999999999,42.121212121212125,8.945155683453235,0.05825662612915039
a_star,1459,6.0380899999999995,40.289855072463766,8.991975755395684,0.03608059883117676
dijkstra,2623,5.203536000000002,59.1044776119403,5.282377454545458,0.0456082820892334
a_star,240,5.089404000000001,56.71641791044776,5.384053705263159,0.021286964416503906
dijkstra,2964,6.292097,45.55555555555556,8.287152146341464,0.05157756805419922
a_star,1284,6.292097,45.55555555555556,8.287152146341464,0.033983469009399414
dijkstra,1937,4.765254000000001,49.859154929577464,5.734458203389832,0.03699898719787598
a_star,924,4.765254000000001,49.859154929577464,5.734458203389832,0.029407978057861328
dijkstra,3930,6.3792089999999995,42.06896551724138,9.098216114754099,0.05744361877441406
a_star,1043,6.181590000000001,40.666666666666664,9.12037868852459,0.02895832061767578
dijkstra,197,0.6377919999999999,40.0,0.9566879999999999,0.01889944076538086
a_star,23,0.6377919999999999,40.0,0.9566879999999999,0.017015695571899414
dijkstra,1694,5.508897999999999,43.9344262295082,7.5233457761194025,0.03408455848693848
a_star,772,5.201733999999999,42.1875,7.398021688888888,0.02591681480407715
